Dataset,Spuntik_time,Sputnik_gflops,cuSparse_time,cuSparse_gflops,ours_time,ours_gflops
c-49, 2.654208, 151.467982, 1.325056, 303.404183, 1.099776, 365.553994
c-50, 3.351552, 147.895661, 1.442816, 343.550386, 1.299456, 381.451931
c-51, 2.832384, 183.523131, 1.533952, 338.868492, 1.302528, 399.076251
c-52, 3.174400, 163.480640, 1.566720, 331.235292, 1.280000, 405.432009
c-53, 7.153664, 133.199611, 2.213888, 430.403575, 1.832960, 519.850556
c-54, 4.120576, 243.348042, 2.375680, 422.082980, 1.678336, 597.457282
c-55, 5.231616, 197.421217, 2.550784, 404.907650, 2.018304, 511.732595
c-56, 3.577856, 272.538633, 2.425856, 401.962835, 1.718272, 567.491070
c-57, 15.331328, 67.659129, 2.652160, 391.116806, 2.055168, 504.729717
c-58, 8.733696, 161.964181, 3.184640, 444.177662, 2.213888, 638.941972
c-59, 5.984256, 205.568111, 3.045376, 403.947537, 2.088960, 588.892176
c-60, 4.597760, 166.246095, 2.422784, 315.488154, 1.619968, 471.836267
c-61, 5.403648, 146.871331, 2.542592, 312.138536, 1.645568, 482.289977
c-62, 9.120768, 156.995348, 3.364864, 425.550047, 2.365440, 605.349595
c-62ghs, 9.098240, 157.384076, 3.364864, 425.550047, 2.305024, 621.216151
c-63, 6.219776, 178.919982, 3.015680, 369.018667, 1.944576, 572.280140
c-64, 16.888832, 108.809949, 3.953664, 464.802505, 2.714624, 676.953055
c-64b, 16.669697, 110.240335, 3.929088, 467.709786, 2.714624, 676.953055
c-65, 6.423552, 143.682448, 2.762752, 334.069674, 1.795072, 514.158597
c-66, 9.185280, 139.076647, 3.303424, 386.707236, 2.215936, 576.486844
c-66b, 9.114624, 140.154758, 8.034304, 159.000453, 2.196480, 581.593231
c-67, 5.458944, 249.453674, 3.518464, 387.030695, 2.471936, 550.885463
c-67b, 5.524480, 246.494445, 3.488768, 390.325055, 2.436096, 558.990133
c-68, 6.414336, 225.896385, 4.068352, 356.157796, 2.632704, 550.375336
c-69, 8.761344, 182.319426, 4.291584, 372.208302, 2.752512, 580.329246
c-70, 8.922112, 189.081248, 4.541440, 371.468996, 2.946048, 572.632947
c-71, 12.991488, 169.376915, 5.590016, 393.640785, 3.695616, 595.423939
c-72, 10.552320, 171.654059, 5.115904, 354.062260, 3.269632, 553.991527
c-73, 62.578690, 52.333174, 10.078208, 324.952754, 6.919168, 473.314341
c-73b, 62.577663, 52.334032, 10.432512, 313.916854, 6.926336, 472.824525
c-big, 40.935425, 146.401025, 19.077120, 314.145333, 12.690432, 472.244629
