Dataset,ASpT,Sputnik,RoDe
c-68,0.161792,0.892864,0.059392
c-69,4.754432,0.906496,0.061440
c-70,0.166912,0.920768,0.061440
c-71,0.149504,0.417856,0.060416
c-72,4.770816,0.431712,0.060416
c-73,6.286336,0.927424,0.066560
c-73b,6.234112,0.909504,0.068608
c-big,0.239616,1.362592,0.075776
ca-AstroPh,0.114688,0.405760,0.056320
ca-CondMat,0.081472,0.419680,0.052224
ca-HepPh,0.111616,0.409600,0.052224
ca2010,0.164416,1.364352,0.086016
cage10,0.082112,0.392192,0.053248
cage11,0.094368,0.398208,0.055296
cage12,0.110848,0.888064,0.061440
cage13,0.157408,1.374208,0.084992
cage14,0.279392,1.288032,0.122880
cage15,0.776160,2.711520,0.296960
caidaRouterLevel,0.271936,0.903840,0.065536
cant,8.620480,0.406176,0.058368
case39,6.254592,0.923520,0.060416
case9,1.773568,0.403456,0.052224
cat_ears_4_4,0.073664,0.386688,0.053248
cbuckle,4.257760,0.402432,0.056320
cca,0.073408,0.387392,0.054272
ccc,0.065152,0.366944,0.054272
cfd1,0.099936,0.897952,0.058368
cfd2,0.110528,0.840064,0.063488
ch7-7-b5,0.073280,0.383232,0.055296
ch7-8-b3,0.073056,0.899200,0.059392
ch7-8-b4,0.079456,0.864512,0.063488
ch7-8-b5,0.094016,0.871904,0.065536
ch7-9-b3,0.073376,0.874176,0.064512
ch7-9-b4,0.082016,1.320416,0.071680
ch7-9-b5,0.104608,1.330720,0.073728
ch8-8-b3,0.073792,0.878688,0.064512
ch8-8-b4,0.099552,1.326304,0.074752
ch8-8-b5,0.116864,1.367808,0.088064
channel-500x100x100-b050,0.651232,2.475616,0.274432
chem_master1,0.071584,0.390848,0.055296
chipcool0,0.083776,0.398656,0.051200
chipcool1,0.081696,0.398272,0.052224
circuit5M,52.799488,2.802624,0.403456
circuit5M_dc,0.296832,1.750944,0.334848
circuit_4,13.292544,0.920800,0.060416
cit-HepPh,0.104448,0.460512,0.056320
cit-HepTh,0.112640,0.445248,0.054272
cit-Patents,0.302080,1.955296,0.264192
citationCiteseer,0.164864,1.884608,0.074752
ckt11752_dc_1,0.122880,0.402976,0.057344
ckt11752_tr_0,0.124928,0.405600,0.056320
cnr-2000,7.733248,1.411520,0.071680
co2010,0.083776,0.923296,0.066560
co9,1.534976,0.403456,0.052224
coAuthorsCiteseer,0.115040,0.906592,0.071680
coAuthorsDBLP,0.153504,1.711264,0.095232
coPapersCiteseer,28.068865,1.387232,0.196608
coPapersDBLP,18.141184,1.953024,0.087040
cond-mat-2003,0.081504,0.446240,0.061440
cond-mat-2005,0.092608,0.454144,0.055296
conf5_4-8x8-05,0.108384,0.867808,0.056320
conf5_4-8x8-10,0.108704,0.870016,0.055296
conf5_4-8x8-15,0.108192,0.863424,0.055296
conf5_4-8x8-20,0.112576,0.876960,0.055296
conf6_0-8x8-20,0.108160,1.499424,0.058368
conf6_0-8x8-30,0.110400,0.873888,0.057344
conf6_0-8x8-80,0.109216,0.915136,0.056320
consph,9.009152,0.925952,0.064512
cont-201,0.080832,0.403232,0.057344
cont-300,0.075840,0.886816,0.066560
cont11_l,0.152832,1.487392,0.121856
cont1_l,0.184800,1.519616,0.136192
cop20k_A,0.119520,0.983648,0.062464
