Dataset,no_blocksplit_time,no_blockSplit_gflops,No_pipeline_time,No_pipeline_time,complete_time,complete_gflops
TSOPF_RS_b162_c4, 2.361344, 881.124204, 2.357248, 882.655274, 2.491392, 835.130532
TSOPF_RS_b2052_c1, 16.563200, 1044.992272, 20.622335, 839.304358, 19.620865, 882.143377
TSOPF_RS_b2383, 37.575680, 1101.728375, 38.221825, 1083.103515, 38.116352, 1086.100594
TSOPF_RS_b2383_c1, 37.558273, 1102.238974, 38.179840, 1084.294553, 38.104065, 1086.450821
TSOPF_RS_b300_c1, 4.004864, 942.421964, 4.016128, 939.778797, 3.771392, 1000.763615
TSOPF_RS_b300_c2, 7.482368, 1007.214658, 7.443456, 1012.480029, 7.581696, 994.019107
TSOPF_RS_b300_c3, 10.815488, 1044.652778, 10.829824, 1043.269860, 11.438080, 987.790748
TSOPF_RS_b39_c19, 2.551808, 686.402456, 2.534400, 691.117175, 2.686976, 651.873105
TSOPF_RS_b39_c30, 3.883008, 712.016086, 3.892224, 710.330163, 4.189184, 659.976749
TSOPF_RS_b39_c7, 1.073152, 602.209000, 1.073152, 602.209000, 0.963584, 670.685437
TSOPF_RS_b678_c1, 11.813888, 952.649985, 11.796480, 954.055758, 10.978304, 1025.158343
TSOPF_RS_b678_c2, 21.616640, 1040.022378, 21.564417, 1042.541032, 21.403648, 1050.371836
Transport, 70.975487, 847.642955, 70.947838, 847.973289, 70.906883, 848.463063
Trefethen_20000, 2.240512, 633.530651, 2.405376, 590.108567, 2.243584, 632.663191
Trefethen_20000b, 2.253824, 629.753522, 2.255872, 629.181794, 2.181120, 650.745329
Wordnet3, 1.554432, 218.978915, 1.569792, 216.836264, 1.552384, 219.267807
Zd_Jac2, 6.892544, 610.174212, 6.524928, 644.551544, 6.280192, 669.669422
Zd_Jac2_db, 2.664448, 649.922170, 2.702336, 640.809949, 2.416640, 716.566724
Zd_Jac3, 7.841792, 625.539297, 7.263232, 675.367242, 6.803456, 721.008447
Zd_Jac3_db, 2.782208, 656.889040, 2.721792, 671.470095, 2.492416, 733.265229
Zd_Jac6, 7.130112, 614.671463, 6.635520, 660.487270, 6.343680, 690.872892
Zd_Jac6_db, 2.593792, 654.997049, 2.600960, 653.191925, 2.325504, 730.562507
Zhao1, 1.255424, 339.422914, 1.213440, 351.166684, 1.072128, 397.452223
Zhao2, 1.081344, 394.064864, 1.251328, 340.533963, 1.070080, 398.212903
a0nsdsil, 33.589249, 27.058868, 5.526528, 164.458962, 3.049472, 298.047338
a2nnsnsl, 32.826366, 27.078486, 5.437440, 163.475520, 3.055616, 290.903159
a5esindl, 36.861954, 17.709594, 3.653632, 178.674331, 2.513920, 259.678201
adaptive, 166.501373, 418.954613, 166.418427, 419.163430, 166.411270, 419.181455
af23560, 1.619968, 765.259139, 1.626112, 762.367766, 1.604608, 772.584528
af_0_k101, 62.881790, 714.510956, 62.869503, 714.650599, 63.890430, 703.230948
af_1_k101, 62.838783, 714.999968, 62.911488, 714.173670, 63.869953, 703.456411
af_2_k101, 62.874622, 714.592411, 62.889984, 714.417862, 63.890430, 703.230948
af_3_k101, 62.913536, 714.150417, 62.867455, 714.673886, 63.886337, 703.276004
af_4_k101, 62.831615, 715.081535, 62.875648, 714.580749, 63.880192, 703.343661
af_5_k101, 62.895103, 714.359712, 62.867455, 714.673886, 63.989761, 702.139327
af_shell1, 62.899200, 715.867923, 62.899200, 715.867923, 64.432129, 698.836446
af_shell10, 189.092865, 713.094870, 189.105148, 713.048551, 192.727036, 699.648348
af_shell2, 62.894081, 715.926192, 62.869503, 716.206075, 64.281601, 700.472909
af_shell3, 62.861313, 716.299389, 62.893055, 715.937873, 64.297981, 700.294459
af_shell4, 62.866432, 716.241060, 62.869503, 716.206075, 64.300034, 700.272107
af_shell5, 62.867455, 716.229412, 62.889984, 715.972831, 64.288765, 700.394852
af_shell6, 62.875648, 716.136073, 62.899200, 715.867923, 64.304131, 700.227491
af_shell7, 62.916607, 715.669872, 62.887936, 715.996153, 64.311295, 700.149489
af_shell8, 63.031296, 714.367672, 62.878719, 716.101099, 64.303101, 700.238707
af_shell9, 62.887936, 715.996153, 62.938110, 715.425356, 64.294914, 700.327865
airfoil_2d, 1.209344, 549.720562, 1.214464, 547.403058, 1.191936, 557.749133
ak2010, 2.335744, 237.941702, 2.359296, 235.566398, 1.432576, 387.952125
al2010, 6.771712, 465.175424, 6.769664, 465.316153, 6.712320, 469.291391
