Dataset,No_pipeline_time,No_pipeline_time,complete_time,complete_gflops
af_shell3, 34.340862, 327.798409, 34.227200,328.886971
af_shell4, 34.333694, 327.866843, 34.235394,328.808255
af_shell5, 34.357246, 327.642090, 34.235394,328.808255
af_shell6, 34.350079, 327.710458, 34.238464,328.778764
af_shell7, 34.329601, 327.905935, 34.227200,328.886971
af_shell8, 34.376705, 327.456629, 34.237438,328.788618
af_shell9, 34.328575, 327.915737, 34.237438,328.788618
airfoil_2d, 0.225280, 737.749994, 0.212992,780.312509
ak2010, 0.385024, 360.867676, 0.362496,383.294504
al2010, 1.981440, 397.442517, 1.863680,422.555631
amazon-2008, 5.380096, 613.626289, 5.310464,621.672302
amazon0302, 1.624064, 486.631866, 1.585152,498.577591
amazon0312, 3.202048, 639.678593, 3.173376,645.458195
amazon0505, 3.301376, 650.749049, 3.279872,655.015622
amazon0601, 3.306496, 655.657343, 3.283968,660.155135
apache1, 0.610304, 568.565438, 0.591872,586.271649
apache2, 4.723712, 652.757158, 4.534272,680.029047
appu, 1.562624, 758.971177, 1.544192,768.030526
ar2010, 1.446912, 399.995563, 1.410048,410.452975
as-Skitter, 25.761791, 551.280822, 25.669632,553.260034
as-caida, 0.167936, 406.867385, 0.150528,453.920072
astro-ph, 0.335872, 462.084611, 0.329728,470.694865
atmosmodd, 8.125440, 694.303748, 8.079360,698.263624
atmosmodj, 8.112128, 695.443048, 8.084480,697.821381
atmosmodl, 9.694208, 681.298184, 9.660416,683.681390
atmosmodm, 9.697280, 681.082370, 9.691136,681.514134
audikw_1, 83.233795, 597.079371, 82.711555,600.849323
aug3dcqp, 0.168960, 485.284076, 0.157696,519.947261
auto, 5.767168, 735.664723, 5.610496,756.208016
av41092, 1.072128, 1005.194550, 1.037312,1038.932595
az2010, 1.912832, 400.192046, 1.840128,416.003769
barrier2-1, 5.614592, 433.734720, 5.594112,435.322631
barrier2-10, 5.777408, 431.757014, 5.753856,433.524301
barrier2-11, 5.786624, 431.069394, 5.750784,433.755904
barrier2-12, 5.776384, 431.833572, 5.751808,433.678664
barrier2-2, 5.776384, 421.586164, 5.644288,431.452735
barrier2-3, 5.618688, 433.418527, 5.598208,435.004119
barrier2-4, 5.615616, 433.655647, 5.595136,435.242941
barrier2-9, 5.774336, 431.986732, 5.749760,433.833136
bauru5727, 0.321536, 288.652464, 0.301056,308.288693
baxter, 0.235520, 303.195645, 0.226304,315.542994
bayer01, 0.422912, 420.360168, 0.401408,442.879479
bayer04, 0.280576, 362.869538, 0.272384,373.782911
bbmat, 1.533952, 739.203105, 1.515520,748.193424
bcircuit, 0.537600, 447.092873, 0.522240,460.242662
bcsstk17, 0.642048, 427.282695, 0.628736,436.329384
