Dataset,ASpT_time,ASpT_gflops
bfly,0.513600,244.994396
blockqp1,0.985088,415.821859
bloweya,0.734208,130.760985
bloweybl,0.746496,102.880655
bmw3_2,12.275712,588.538017
bmw7st_1,7.916544,593.363329
bmwcra_1,10.730496,634.841206
bodyy4,0.222688,350.446896
bodyy5,0.223040,370.964133
bodyy6,0.233024,370.085140
bone010,72.131584,635.871907
boneS01,6.912000,621.773317
boneS10,57.506817,617.314468
boyd1,2.794496,277.398079
boyd2,5.776384,166.237927
brack2,1.186112,395.574365
brainpc2,1.102848,104.105729
bratu3d,0.299456,371.438341
bundle1,0.927744,531.802583
bundle_adj,19.958784,647.993013
c-42,0.628736,112.260786
c-43,0.952320,83.114921
c-45,0.654336,170.629897
c-46,0.930816,89.656904
c-47,1.108992,121.999656
c-48,1.045504,101.665037
c-49,1.160192,86.629522
c-50,1.169408,105.968151
c-51,1.056768,122.971179
c-52,0.787456,164.756182
c-53,1.126400,211.484660
c-54,1.101824,227.516835
c-55,1.121280,230.279690
c-56,1.159168,210.302561
c-57,1.186816,218.505720
c-58,1.437696,245.974451
c-59,0.790528,389.034974
c-60,0.842752,226.745145
c-61,1.041408,190.521151
c-62,1.543168,231.977032
c-62ghs,1.639424,218.356891
c-63,0.996352,279.229183
c-64,1.563648,293.811807
c-64b,1.568768,292.852884
c-65,1.284096,179.688995
c-66,1.479680,215.833486
c-66b,1.486848,214.792958
c-67,1.915904,177.690736
c-67b,1.869824,182.069751
c-68,1.542144,234.896257
c-69,1.645568,242.676569
c-70,1.797120,234.681627
c-71,1.668096,329.785922
c-72,1.642496,275.700594
c-73,2.847744,287.503148
c-73b,2.852864,286.987165
c-big,5.992448,250.022541
ca-AstroPh,1.249280,202.950824
ca-CondMat,0.767808,155.818951
ca-HepPh,0.996352,152.241775
ca2010,8.335680,267.907866
cage10,0.252896,381.234958
cage11,0.736512,486.376430
cage12,2.800032,464.574364
cage13,10.412512,459.714198
cage14,38.204414,454.487358
cage15,142.086777,446.823512
caidaRouterLevel,4.733792,164.689219
cant,3.825920,670.355117
case39,1.692672,394.041134
case9,0.450560,210.187498
cat_ears_4_4,0.241312,352.441325
cbuckle,1.478016,292.939721
cca,0.474624,187.788562
ccc,0.479936,196.634216
cfd1,1.963040,596.092267
cfd2,3.154688,626.450157
ch7-7-b5,0.448320,302.184153
ch7-8-b3,0.438944,342.932119
ch7-8-b4,1.664224,271.348083
ch7-8-b5,1.868288,290.052063
ch7-9-b3,0.999360,271.123913
ch7-9-b4,3.721056,273.057972
ch7-9-b5,5.445184,298.557832
ch8-8-b3,1.138016,264.544614
ch8-8-b4,4.410496,273.035943
ch8-8-b5,7.214304,300.459089
channel-500x100x100-b050,99.452896,549.326951
chem_master1,0.423904,303.768399
chipcool0,0.377664,476.444671
chipcool1,0.377728,476.363963
circuit5M,119.596031,318.535204
circuit5M_dc,41.703552,294.562042
circuit_4,2.466816,79.805938
cit-HepPh,1.044480,258.319861
cit-HepTh,1.044480,216.180767
cit-Patents,55.492607,190.514147
citationCiteseer,7.040000,210.299456
ckt11752_dc_1,1.181696,180.366651
ckt11752_tr_0,1.184768,179.898990
cnr-2000,6.755328,304.698340
co2010,2.405824,259.257275
co9,1.010688,69.434527
coAuthorsCiteseer,6.150816,169.423297
coAuthorsDBLP,4.702176,266.137477
coPapersCiteseer,33.563648,611.584339
coPapersDBLP,35.806210,545.004159
cond-mat-2003,0.539712,284.665000
cond-mat-2005,0.730592,307.814808
conf5_4-8x8-05,1.972640,621.924881
conf5_4-8x8-10,1.972960,621.824022
conf5_4-8x8-15,1.977920,620.264665
conf5_4-8x8-20,1.974112,621.461143
conf6_0-8x8-20,1.974656,621.289951
conf6_0-8x8-30,1.970752,622.520703
conf6_0-8x8-80,1.975904,620.897537
consph,6.203392,620.097389
cont-201,0.963296,291.529085
cont-300,2.149312,294.254531
cont11_l,15.667072,219.895542
cont1_l,17.773664,253.210550
cop20k_A,3.187136,526.984689
copter1,0.280448,481.661360
copter2,1.102560,441.127250
crankseg_1,9.966592,681.586495
crankseg_2,13.302784,680.704817
crashbasis,2.930176,382.320459
crplat2,0.859264,715.735127
crystk02,0.827392,749.213352
crystk03,1.645568,681.074201
crystm02,0.377568,547.342986
crystm03,0.603392,619.187521
ct2010,0.878304,245.091994
ct20stif,2.866176,602.550711
cvxbqp1,0.715200,313.170467
cvxqp3,0.242464,323.246660
cyl6,1.707328,267.736633
cz10228,0.201344,327.005724
cz20468,0.305216,432.115727
cz40948,0.632000,417.365044
d_pretok,2.983808,352.123885
darcy003,5.128224,262.234042
dawson5,1.217408,531.372647
dbic1,2.577408,268.634031
dbir1,1.717248,401.395730
dbir2,1.790976,413.864697
dblp-2010,4.248768,243.330781
dc1,2.266112,216.447122
dc2,2.279424,215.183068
dc3,2.279424,215.183068
de2010,0.307040,241.909323
debr,11.369088,236.109588
degme,12.141568,428.414011
delaunay_n15,0.331968,378.924223
delaunay_n16,0.838656,300.022891
delaunay_n17,1.684224,298.811368
delaunay_n18,3.318912,303.288207
delaunay_n19,6.559616,306.910254
delaunay_n20,13.030432,309.005730
delaunay_n21,25.974848,310.030777
delaunay_n22,51.862465,310.553545
deltaX,0.512608,308.913171
denormal,1.630048,453.964143
dictionary28,0.503232,226.473355
dielFilterV2clx,28.938240,559.741506
dielFilterV2real,55.308289,561.668605
dielFilterV3clx,37.201920,565.755030
dielFilterV3real,101.944321,560.657547
dixmaanl,0.690336,278.123585
e18,0.253280,395.365740
e40r0100,0.635904,557.127604
ecl32,0.761152,319.864614
ecology1,10.913984,292.967253
ecology2,10.912608,293.003670
email-Enron,1.182720,198.951308
email-EuAll,4.291456,62.642792
engine,5.966848,504.770152
enron,2.104320,83.985095
epb2,0.381728,293.447905
epb3,0.986464,300.791507
eu-2005,23.169024,531.333985
ex11,0.915456,766.881994
ex19,0.356800,466.150686
ex35,0.317280,460.328803
fcondp2,10.925824,661.585079
fe_body,0.565952,370.313240
fe_ocean,1.697344,308.882028
fe_rotor,1.988704,426.363951
fe_tooth,1.487072,389.568550
fem_filter,2.220032,499.079226
fem_hifreq_circuit,23.706623,546.392105
filter3D,3.246080,533.749816
finan512,1.205568,316.925212
finance256,0.459360,415.877391
fl2010,5.572064,269.492271
flickr,19.811329,317.788726
flower_7_4,0.437280,295.964874
flower_8_4,0.828064,290.038249
foldoc,0.291168,264.288379
fome12,0.685248,133.116649
fome13,1.258592,144.952327
fome20,0.777888,191.408120
fome21,1.292992,230.309361
ford1,0.204960,317.177200
ford2,1.201824,290.059389
fullb,12.570624,596.085689
fxm3_16,0.903968,277.710369
fxm4_6,0.856064,372.191976
g7jac040,0.342016,214.578960
g7jac040sc,0.340992,215.223346
g7jac050sc,0.409600,246.859381
g7jac060,0.462848,281.133845
g7jac060sc,0.462848,281.133845
g7jac080,0.555008,338.994469
g7jac080sc,0.558080,337.128430
g7jac100,0.662528,371.557199
g7jac100sc,0.659456,373.288035
g7jac120,0.803840,378.420391
g7jac120sc,0.803840,378.420391
g7jac140,1.019904,355.143066
g7jac140sc,1.018880,355.499997
g7jac160,1.297408,323.902924
g7jac160sc,1.300480,323.137793
g7jac180,1.471488,325.015658
g7jac180sc,1.470464,325.241994
g7jac200,1.625088,330.000005
g7jac200sc,1.627136,329.584646
ga2010,3.525536,257.423502
garon2,0.427744,584.434801
gas_sensor,1.859840,586.154497
gearbox,9.475072,613.341895
graphics,0.252800,298.617736
great-britain_osm,65.262428,159.974767
gridgena,0.810464,404.377924
gsm_106857,33.733631,412.813886
gupta1,2.446336,566.191391
gupta2,4.323328,628.891222
gupta3,7.579648,787.238836
gyro,1.107968,589.856184
gyro_k,1.107968,589.856184
gyro_m,0.491328,443.442750
halfb,13.088768,605.725874
hangGlider_4,0.265216,360.839778
hangGlider_5,0.933888,106.391171
hcircuit,5.290784,62.063786
helm2d03,6.021024,291.451808
helm3d01,0.521184,526.117735
hi2010,0.361024,220.042550
hollywood-2009,131.074051,556.101294
hood,10.975424,627.930106
hugetrace-00000,46.471905,189.475561
hugetric-00000,58.913761,189.750395
hugetric-00010,67.250557,188.160421
hugetric-00020,72.618851,188.262337
human_gene1,25.255936,625.143005
human_gene2,17.592319,657.319140
hvdc1,0.521824,196.211442
hvdc2,2.619744,329.137007
iChem_Jacobian,5.689792,465.380121
ia2010,2.505728,260.821924
ibm_matrix_2,2.573312,262.786008
id2010,1.937632,240.545660
igbt3,0.296832,504.540758
il2010,5.147328,269.121569
image_interp,2.220384,205.134402
in-2004,25.259008,428.635746
in2010,3.125984,262.412812
inlet,0.362272,580.024742
inline_1,40.429569,582.802620
ins2,6.148096,286.421965
internet,1.291520,102.682854
invextr1_new,1.987584,577.627835
italy_osm,55.010178,163.204197
jan99jac060,0.335776,242.413036
jan99jac060sc,0.337536,241.149028
jan99jac080,0.400000,274.435196
jan99jac080sc,0.393440,279.010974
jan99jac100,0.454496,303.966770
jan99jac100sc,0.455488,303.304766
jan99jac120,0.529600,314.443490
jan99jac120sc,0.535584,310.930290
jnlbrng1,0.413792,308.096811
juba40k,0.382304,242.646681
k1_san,1.072128,334.153516
k3plates,0.445312,544.591845
karted,2.823168,401.330471
kim1,1.008320,592.316740
kim2,11.579296,626.222244
kkt_power,32.286015,289.664254
kneser_10_4_1,3.427648,185.270269
kron_g500-logn16,5.745664,547.191777
kron_g500-logn17,12.768256,512.689462
kron_g500-logn18,26.399744,513.117896
kron_g500-logn19,57.877502,481.704435
kron_g500-logn20,122.931198,464.596394
kron_g500-logn21,253.358078,459.954085
ks2010,2.760288,260.099932
ky2010,1.986976,253.741320
la2010,4.081504,153.768263
laminar_duct3D,3.866624,634.447313
language,5.112832,152.254905
largebasis,8.316096,427.900768
ldoor,47.609535,625.386992
lhr10,0.393216,378.634427
lhr10c,0.394240,377.650982
lhr11,0.389120,384.442422
lhr11c,0.388096,385.456790
lhr14,0.459776,428.532838
lhr14c,0.456704,431.415368
lhr17,0.531456,459.989167
lhr17c,0.525312,465.369146
lhr34,1.058816,461.807321
lhr34c,1.063936,459.584940
lhr71,2.192384,446.080102
lhr71c,2.194432,445.663785
li,1.301504,663.999303
light_in_tissue,0.449728,577.890976
ljournal-2008,152.684540,331.237275
lowThrust_10,1.058816,134.190649
lowThrust_11,1.159168,123.565039
lowThrust_12,0.330752,434.583998
lowThrust_13,0.331776,433.829099
lowThrust_4,0.458752,224.535432
lowThrust_5,0.541696,234.367906
lowThrust_6,1.050624,126.309087
lowThrust_7,0.415744,325.678874
lowThrust_8,0.650240,213.036416
lowThrust_9,0.909312,154.553067
lp1,6.410240,164.079468
lp_ken_18,2.623552,87.373695
lp_nug20,0.437504,445.874787
lp_nug30,3.173280,316.200272
lp_osa_60,3.274752,275.186257
lp_pds_10,0.407904,168.831882
lp_pds_20,0.779680,190.968189
lpl1,0.861184,243.784185
lpl3,0.920576,69.886681
lung2,1.200512,262.588751
luxembourg_osm,1.024576,149.498415
m133-b3,2.101632,243.863803
m14b,4.855776,442.595193
m_t1,9.503744,656.823744
ma2010,1.910688,260.131633
mac_econ_fwd500,2.927072,278.424633
majorbasis,2.937536,381.362557
mario001,0.407456,323.813704
mario002,5.128512,262.219315
mark3jac040,0.282528,256.960006
mark3jac040sc,0.281664,257.748226
mark3jac060,0.353888,308.698793
mark3jac060sc,0.354816,307.891423
mark3jac080,0.427840,340.994769
mark3jac080sc,0.427456,341.301100
mark3jac100,0.621984,293.476357
mark3jac100sc,0.624192,292.438224
mark3jac120,0.849856,257.907216
mark3jac120sc,0.844832,259.440929
mark3jac140,1.001120,255.544198
mark3jac140sc,1.003936,254.827386
matrix-new_3,4.728832,362.541973
matrix_9,3.678208,369.144964
mc2depi,5.090144,264.067963
md2010,1.739936,257.619775
me2010,0.945856,226.995067
