nnz,ASpT_time,ASpT,Sputnik_time,Sputnik,cuSPARSE_time,cuSPARSE,RoDe_time,RoDe
1234194.0,2.0056768000000003,476.41065399999997,1.3887488000000001,634.8835836000001,3.1207424,292.79935220000004,1.1188224,791.0058722
1277560.2,2.5869184,318.7897378,14.825472,308.01389420000004,3.9299072,209.029702,1.2310528,682.0740989999999
1311823.2,1.9775616,468.4655148,11.763097799999999,523.4664329999999,2.8915712,310.3301636,0.9345023999999998,931.6022731999999
1342108.0,1.6145984000000002,756.1310328,0.9725952000000001,1026.9989314,2.5503744,363.16493520000006,0.8210432000000001,1216.0797734
1413598.6,2.7398848,342.05569920000005,42.1085176,403.312268,4.1777152,218.0960898,1.39776,666.0415558
1450915.0,1.6385792000000001,630.1212644000001,1.0600448,936.8238852000001,2.8063744,346.3538302,0.8417280000000001,1138.5468391999998
1479951.0,1.8874751999999997,707.0466731999999,1.0262528,1197.5687581999998,2.939904,353.81871520000004,0.8873984,1416.3968871999998
1503451.4,3.3508607999999995,412.4994524,37.57035499999999,404.2079742,5.342208000000001,231.70064240000002,1.5749119999999999,723.1206894
1549152.8,1.8568512,569.6745492,1.2965887999999999,886.797884,3.3026048,308.98917759999995,1.0432511999999998,1072.9605888
1592455.0,2.809152,456.4583804,1.5611903999999999,807.768873,4.256768,261.9389932,1.3080576,916.4461838
1640691.4,3.149216,445.2192744,60.547071599999995,629.9239611999999,3.852288,295.6751018,1.3633536000000002,855.4476772
1668245.4,1.8755712,640.8256578,1.4149632,911.1164036,3.1594495999999994,365.1626438,1.0364928,1144.783411
1706712.0,2.113216,611.5019358,1.3451263999999998,942.8921956,3.4531328,339.4033614,1.093632,1115.8602740000001
1733524.4,2.0275456,580.5394148,1.0391552000000002,1114.720578,3.3810431999999992,336.0835978,0.8826879999999999,1291.4335337999999
1761469.0,2.2061248,674.9505790000001,26.1654526,889.4414772,3.6866048,338.1038244,1.1692031999999999,1189.2034776
1789489.6,1.5082432,844.9585128000001,2.8833792000000003,998.4981357999999,3.1635456,377.182949,0.8312831999999999,1459.3326121999999
1837369.8,3.0520576000000004,494.00456840000004,1.6203775999999999,883.3204165999999,4.2473472,295.7155756,1.3826048,954.8585844000002
1894726.0,3.0182656000000003,532.0758716,30.543258,793.3359708,4.2442752,315.80496439999996,1.421312,924.985903
1916928.0,1.4945728,820.8618872,0.8708096000000001,1418.179517,3.0849024,398.377995,0.8988672,1364.8705513999998
1937298.8,2.5965248,727.5326416,26.9858822,1105.1350802000002,3.7167103999999993,366.3414998,1.2140544000000002,1251.227359
2010615.6,1.6456320000000002,823.2984628,7.437311599999998,1097.416587,3.5473407999999997,377.842439,0.9181184,1430.1026304
2054664.4,4.1735168,611.4658390000001,2.4287232000000003,956.3815543999999,4.745216000000001,329.776376,1.439744,1097.4567702
2102133.0,3.469856,454.2034584,1.953792,804.8388976,5.343232,269.03930419999995,1.6885759999999999,893.4980597999999
2153964.8,4.325785600000001,458.6494368,4.1668608,427.18289920000007,5.2813824,291.65366500000005,1.9046399999999999,921.7487056
2272033.6,3.8123712,498.2861564000001,11.2435204,845.4297322,5.1216384,302.3876826,1.6203775999999999,1031.1000425999998
2345476.0,3.8921728,494.2608362000001,6.9453824,799.1904506,5.574860800000001,296.5486348,1.916928,984.1028842
2407004.6,2.1953664,767.920208,5.3000194,778.4270414,4.2881024,368.58957,1.2435455999999998,1295.9644032
2496202.4,2.8597888000000005,687.6964389999999,1.526784,1218.1268708,4.7949824,362.7433926,1.3709312,1294.8464984000002
2638593.8,3.1331327999999994,627.9752633999999,54.0137476,848.7632622000001,11.657625199999998,289.37782699999997,1.3713407999999998,1279.829359
2708294.0,3.4322176,587.9372552,1.6439295999999999,1152.3073612,5.4433792,333.0256374,1.4995456,1225.2429903999998
