Dataset,Sputnik_time,Sputnik_gflops,ours_time,ours_gflops
minsurfo, 174.816254, 2.981830, 0.641024,813.186909
mip1, 478.638092, 55.372143, 12.164096,2178.806950
mixtank_new, 97.458176, 52.405095, 3.098624,1648.249344
mk12-b3, 76.545021, 6.953085, 0.648192,821.090062
mk12-b4, 339.791870, 2.349485, 0.982016,812.956182
mk13-b5, 3810.069580, 0.544786, 2.607104,796.160625
mn2010, 7039.995117, 0.446219, 3.504128,896.480134
mo2010, 12309.488281, 0.344516, 4.649984,912.006189
mod2, 241.796097, 2.115475, 0.749568,682.411215
mono_500Hz, 3005.078613, 4.290369, 8.570880,1504.267634
mouse_gene, 263.062531, 281.895961, 50.819073,1459.221135
mri1, 1009.311768, 1.496019, 1.351680,1117.090876
mri2, 973.755371, 1.496320, 1.188864,1225.581403
ms2010, 3080.201172, 0.698120, 2.452480,876.805818
msc10848, 13.853696, 227.248505, 1.501184,2097.165776
msc23052, 57.777153, 51.167697, 1.587200,1862.603172
msdoor, 18067.701172, 2.867924, 31.420416,1649.144104
mt2010, 1827.367920, 0.894724, 1.937408,843.905933
mult_dcop_01, 66.929665, 7.392635, 0.516096,958.710325
mult_dcop_02, 66.931709, 7.392409, 0.515072,960.616324
mult_dcop_03, 66.928642, 7.390453, 0.517120,956.514845
n4c6-b10, 2578.762695, 1.445825, 3.599360,1035.862023
n4c6-b11, 958.056458, 2.220014, 2.128896,999.062050
n4c6-b12, 185.955322, 4.582468, 0.975872,873.203061
n4c6-b5, 109.814781, 7.247182, 0.830464,958.316886
n4c6-b6, 565.695496, 3.298136, 1.821696,1024.177885
n4c6-b7, 1776.465942, 1.881625, 2.994176,1116.381702
n4c6-b8, 3389.721680, 1.351893, 4.195328,1092.296131
n4c6-b9, 3873.132568, 1.233081, 4.356096,1096.368177
nasasrb, 320.081909, 21.413111, 3.677184,1863.912506
nc2010, 8710.877930, 0.416324, 4.000768,906.462717
ncvxbqp1, 262.418427, 3.414082, 1.097728,816.156706
ncvxqp3, 588.767212, 2.173878, 1.666048,768.229848
ncvxqp5, 409.425934, 2.657167, 1.371136,793.439163
ncvxqp7, 800.907288, 1.837794, 2.006016,733.744251
nd12k, 163.850235, 222.188401, 22.375423,1627.036104
nd2010, 1868.809204, 0.857456, 1.946624,823.179888
nd24k, 604.652527, 121.577302, 46.462975,1582.163513
nd6k, 45.929474, 384.440044, 10.300416,1714.215132
ne2010, 3901.973389, 0.599560, 2.667520,877.019179
neos, 25763.974609, 0.151708, 5.399552,723.873524
neos1, 1833.298950, 0.837261, 1.672192,917.927140
neos2, 1855.962158, 0.944967, 1.725440,1016.449540
neos3, 27698.226562, 0.189935, 5.601280,939.224827
net100, 97.497086, 53.386129, 3.259392,1596.921132
net125, 146.000900, 45.188982, 4.048896,1629.489191
net150, 203.814911, 39.203569, 4.881408,1636.878468
net4-1, 819.270630, 7.629739, 4.585472,1363.179401
net50, 29.405184, 82.288620, 1.329152,1820.493083
net75, 58.839039, 64.792901, 2.221056,1716.459210
netherlands_osm, 0.006144, 2034364.928043, 22.687744,550.920289
nh2010, 250.164230, 2.400215, 0.832512,721.248444
nj2010, 3002.038330, 0.707711, 2.435072,872.489507
nlpkkt120, 0.013312, 18624190.979124, 132.625412,1869.364429
nlpkkt80, 117647.898438, 0.624609, 37.057537,1982.969353
nm2010, 2968.431641, 0.716635, 2.450432,868.125762
nmos3, 36.776958, 26.910345, 0.719872,1374.800858
ns3Da, 46.525440, 92.417684, 3.003392,1431.639116
nsct, 91.196419, 19.586397, 1.200128,1488.349027
nug08-3rd, 62.047234, 6.123479, 0.470016,808.366009
nv2010, 747.338745, 1.428422, 1.336320,798.846718
ny2010, 12786.612305, 0.342267, 4.763648,918.714525
obstclae, 167.881729, 3.013291, 0.631808,800.680735
offshore, 7046.146973, 1.541444, 8.026112,1353.238457
