Dataset,Sputnik_time,Sputnik_gflops,cuSPARSE_time,cuSPARSE_gflops,ours_time,ours_gflops
bodyy6, 0.196608, 438.632797, 0.566272, 152.292038, 0.154624, 557.731787
bone010, 23.141376, 1982.010362, 105.629700, 434.219241, 26.022911, 1762.541011
boneS01, 2.564096, 1676.106247, 10.608640, 405.112945, 2.847744, 1509.158582
boneS10, 19.921921, 1781.946153, 83.201027, 426.674903, 21.779455, 1629.966855
boyd1, 94.050301, 8.242269, 2.779136, 278.931242, 0.874496, 886.439566
boyd2, 123.202560, 7.794108, 6.109184, 157.182058, 2.131968, 450.407356
brack2, 0.557056, 842.277099, 1.541120, 304.450986, 0.470016, 998.254352
brainpc2, 9.020416, 12.728104, 0.651264, 176.292253, 0.444416, 258.345342
bratu3d, 0.222208, 500.564531, 0.648192, 171.599529, 0.192512, 577.779239
bundle1, 1.286144, 383.609171, 1.200128, 411.103363, 0.495616, 995.481685
bundle_adj, 17.245184, 749.957361, 29.532160, 437.934534, 8.448000, 1530.912963
c-42, 0.813056, 86.811241, 0.509952, 138.409887, 0.397312, 177.649813
c-43, 1.727488, 45.819131, 0.497664, 159.047066, 0.416768, 189.918605
c-45, 1.574912, 70.892395, 0.584704, 190.950093, 0.418816, 266.583129
c-46, 1.048576, 79.588013, 0.596992, 139.790948, 0.412672, 202.228592
c-47, 1.480704, 91.373188, 0.640000, 211.401005, 0.444416, 304.436933
c-48, 0.740352, 143.568470, 0.638976, 166.346160, 0.390144, 272.440952
c-49, 1.128448, 89.066469, 0.634880, 158.308466, 0.412672, 243.551481
c-50, 1.379328, 89.840849, 0.656384, 188.791929, 0.410624, 301.784603
c-51, 1.168384, 111.223711, 0.670720, 193.750005, 0.422912, 307.279055
c-52, 1.246208, 104.106413, 0.692224, 187.422330, 0.412672, 314.385846
c-53, 3.032064, 78.565730, 0.899072, 264.958004, 0.464896, 512.407772
c-54, 1.303552, 192.308028, 0.921600, 272.009032, 0.453632, 552.614281
c-55, 2.093056, 123.364117, 0.940032, 274.680009, 0.458752, 562.848765
c-56, 1.146880, 212.555798, 0.927744, 262.762149, 0.443392, 549.797911
c-57, 6.961152, 37.253328, 0.985088, 263.251692, 0.473088, 548.156119
c-58, 3.456000, 102.325368, 1.153024, 306.703497, 0.512000, 690.696217
c-59, 2.187264, 140.606276, 1.083392, 283.870504, 0.509952, 603.082319
c-60, 1.601536, 119.316653, 0.924672, 206.656975, 0.468992, 407.448149
c-61, 1.975296, 100.445826, 0.919552, 215.768368, 0.470016, 422.135074
c-62, 3.506176, 102.099701, 1.170432, 305.852479, 0.528384, 677.498827
c-62ghs, 3.518464, 101.743122, 1.155072, 309.919666, 0.533504, 670.996869
c-63, 2.269184, 122.603785, 1.037312, 268.203348, 0.497664, 559.032917
c-64, 6.489088, 70.798583, 1.408000, 326.291365, 0.576512, 796.892791
c-64b, 6.502400, 70.653643, 1.412096, 325.344900, 0.578560, 794.071910
c-65, 2.286592, 100.909091, 0.989184, 233.260864, 0.486400, 474.378939
c-66, 3.573760, 89.363717, 1.179648, 270.728615, 0.522240, 611.528206
c-66b, 3.578880, 89.235871, 1.133568, 281.733841, 0.533504, 598.616832
c-67, 1.884160, 180.684439, 1.219584, 279.143055, 0.546816, 622.583109
c-67b, 1.878016, 181.275559, 1.223680, 278.208678, 0.542720, 627.281817
c-68, 2.094080, 172.984721, 1.351680, 267.995257, 0.602112, 601.622029
c-69, 3.297280, 121.112187, 1.467392, 272.143237, 0.633856, 630.018176
c-70, 3.344384, 126.107243, 1.540096, 273.847233, 0.656384, 642.537060
c-71, 5.438464, 101.152558, 1.888256, 291.334741, 0.766976, 717.251336
c-72, 4.290560, 105.542667, 1.889280, 239.687674, 0.743424, 609.123624
c-73, 34.579456, 23.676930, 4.104192, 199.487598, 1.010688, 810.077297
c-73b, 34.570240, 23.683242, 3.953664, 207.082682, 1.002496, 816.696881
c-big, 25.303040, 59.212137, 6.495232, 230.668745, 2.013184, 744.217611
ca-AstroPh, 0.544768, 465.413555, 0.891904, 284.270954, 0.448512, 565.296819
ca-CondMat, 0.369664, 323.642648, 0.647168, 184.865512, 0.275456, 434.330837
ca-HepPh, 0.470016, 322.726033, 0.671744, 225.809836, 0.395264, 383.759715
ca2010, 5.066752, 440.754602, 9.789440, 228.122774, 3.632128, 614.844587
cage10, 0.193536, 498.164686, 0.549888, 175.331699, 0.173056, 557.119062
cage11, 0.404480, 885.636053, 1.136640, 315.158797, 0.356352, 1005.247841
cage12, 1.376256, 945.189740, 4.777984, 272.253528, 1.127424, 1153.801088
cage13, 4.812800, 994.593498, 15.102976, 316.942804, 3.995648, 1197.998330
cage14, 20.134912, 862.354051, 54.611969, 317.941720, 14.118912, 1229.798987
cage15, 80.033791, 793.261348, 200.915970, 315.991370, 54.304768, 1169.100163
caidaRouterLevel, 1.937408, 402.395619, 3.687424, 211.422525, 1.242112, 627.644250
cant, 1.947648, 1316.831920, 6.694912, 383.085713, 1.602560, 1600.392529
case39, 13.300736, 50.146276, 1.773568, 376.068122, 0.668672, 997.473163
case9, 4.787200, 19.782353, 0.545792, 173.513138, 0.410624, 230.629677
cat_ears_4_4, 0.217088, 391.768870, 0.582656, 145.966602, 0.175104, 485.701735
cbuckle, 0.671744, 644.545552, 1.537024, 281.693450, 0.567296, 763.216343
cca, 0.280576, 317.664244, 0.730112, 122.075734, 0.259072, 344.031613
ccc, 0.288768, 326.808518, 0.780288, 120.944885, 0.259072, 364.268767
cfd1, 0.960512, 1218.259617, 3.169280, 369.217280, 0.861184, 1358.772293
cfd2, 1.588224, 1244.317334, 5.469184, 361.343621, 1.389568, 1422.208025
ch7-7-b5, 0.261120, 518.823546, 0.702464, 192.857147, 0.217088, 624.056607
ch7-8-b3, 0.304128, 494.949509, 0.864256, 174.170611, 0.286720, 524.999986
ch7-8-b4, 0.877568, 514.585760, 2.190336, 206.171109, 0.727040, 621.126767
ch7-8-b5, 0.915456, 591.946311, 2.554880, 212.104216, 0.771072, 702.788872
ch7-9-b3, 0.473088, 572.727277, 1.599488, 169.398205, 0.438272, 618.224300
ch7-9-b4, 1.817600, 559.014081, 4.267008, 238.120960, 1.513472, 671.346431
ch7-9-b5, 2.501632, 649.856740, 6.991872, 232.513187, 2.118656, 767.327240
ch8-8-b3, 0.516096, 583.333338, 1.405952, 214.129647, 0.485376, 620.253164
ch8-8-b4, 2.119680, 568.115961, 5.368832, 224.299061, 1.788928, 673.153966
ch8-8-b5, 3.266560, 663.573652, 8.381440, 258.619421, 2.791424, 776.522367
channel-500x100x100-b050, 42.771458, 1277.304051, 140.061691, 390.057807, 37.295105, 1464.861305
chem_master1, 0.262144, 491.213380, 0.732160, 175.875007, 0.232448, 553.967519
chipcool0, 0.266240, 675.841344, 0.755712, 238.101296, 0.221184, 813.512730
chipcool1, 0.267264, 673.251894, 0.759808, 236.817721, 0.221184, 813.512730
circuit5M, 1808.964600, 21.059310, 123.076607, 309.527109, 51.672066, 737.256111
circuit5M_dc, 24.125441, 509.183800, 45.860863, 267.859844, 17.554432, 699.782458
circuit_4, 5.860352, 33.592958, 1.131520, 173.984158, 0.624640, 315.168039
cit-HepPh, 0.536576, 502.836380, 0.996352, 270.797786, 0.403456, 668.746823
cit-HepTh, 0.581632, 388.211916, 1.119232, 201.742327, 0.465920, 484.624999
cit-Patents, 28.507135, 370.858965, 48.723969, 216.980001, 19.343361, 546.550663
citationCiteseer, 2.905088, 509.625934, 6.247424, 236.978974, 2.094080, 706.996953
ckt11752_dc_1, 2.135040, 99.828835, 0.965632, 220.724412, 0.498688, 427.398603
ckt11752_tr_0, 2.140160, 99.590008, 0.937984, 227.230488, 0.493568, 431.832207
cnr-2000, 4.517888, 455.597228, 10.279936, 200.228612, 2.166784, 949.950357
co2010, 1.299456, 479.991135, 3.352576, 186.044211, 1.148928, 542.877652
co9, 0.449536, 156.109056, 0.528384, 132.813719, 0.361472, 194.141283
coAuthorsCiteseer, 2.462720, 423.146584, 4.177920, 249.428317, 1.435648, 725.868420
coAuthorsDBLP, 2.102272, 595.272762, 5.220352, 239.720471, 1.883136, 664.543218
coPapersCiteseer, 11.529216, 1780.433460, 48.901119, 419.765476, 13.341696, 1538.560160
coPapersDBLP, 13.436928, 1452.306168, 51.194881, 381.181332, 14.133248, 1380.753572
cond-mat-2003, 0.345088, 445.211418, 0.792576, 193.845281, 0.274432, 559.836747
cond-mat-2005, 0.410624, 547.671450, 0.946176, 237.679926, 0.340992, 659.508251
conf5_4-8x8-05, 1.020928, 1201.685025, 2.962432, 414.130673, 0.898048, 1366.111769
conf5_4-8x8-10, 0.830464, 1477.287290, 3.004416, 408.343560, 0.900096, 1363.003414
conf5_4-8x8-15, 0.834560, 1470.036850, 3.061760, 400.695659, 0.897024, 1367.671270
conf5_4-8x8-20, 0.832512, 1473.653099, 3.337216, 367.621981, 0.901120, 1361.454535
conf6_0-8x8-20, 0.831488, 1475.467957, 2.975744, 412.278044, 0.899072, 1364.555822
conf6_0-8x8-30, 0.831488, 1475.467957, 3.009536, 407.648856, 0.897024, 1367.671270
conf6_0-8x8-80, 0.835584, 1468.235321, 3.058688, 401.098102, 0.898048, 1366.111769
consph, 2.171904, 1771.122041, 9.381888, 410.014172, 2.244608, 1713.754619
cont-201, 0.513024, 547.398981, 1.343488, 209.029634, 0.421888, 665.647765
cont-300, 1.125376, 561.985335, 2.936832, 215.349332, 0.962560, 657.044549
cont11_l, 7.772160, 443.264078, 16.601088, 207.523715, 6.711296, 513.331452
cont1_l, 9.576448, 469.952863, 19.990528, 225.130589, 8.102912, 555.415064
cop20k_A, 1.451008, 1157.520761, 38.315006, 43.835875, 1.189888, 1411.537758
copter1, 0.237568, 568.599124, 0.642048, 210.390749, 0.192512, 701.675512
copter2, 0.529408, 918.704100, 1.478656, 328.926581, 0.429056, 1133.579982
crankseg_1, 4.594688, 1478.466980, 15.665152, 433.643706, 3.261440, 2082.851231
crankseg_2, 5.875712, 1541.135652, 20.902912, 433.206104, 4.280320, 2115.558829
crashbasis, 1.247232, 898.201999, 3.986432, 281.019774, 1.049600, 1067.326824
crplat2, 0.431104, 1426.582527, 1.481728, 415.059618, 0.368640, 1668.309002
crystk02, 0.501760, 1235.437485, 1.809408, 342.594449, 0.367616, 1686.251751
crystk03, 0.691200, 1621.461069, 2.430976, 461.030450, 0.609280, 1839.472719
crystm02, 0.281600, 733.875004, 0.749568, 275.704411, 0.222208, 930.025950
crystm03, 0.384000, 972.949992, 1.095680, 340.987150, 0.324608, 1150.966095
ct2010, 0.427008, 504.124697, 1.147904, 187.528986, 0.363520, 592.169020
ct20stif, 1.133568, 1523.522405, 4.208640, 410.350203, 1.154048, 1496.485736
cvxbqp1, 0.358400, 624.942879, 0.969728, 230.971491, 0.318464, 703.311873
cvxqp3, 0.211968, 369.752407, 0.539648, 145.234821, 0.177152, 442.420538
cyl6, 0.717824, 636.805472, 1.448960, 315.477485, 0.573440, 797.143952
cz10228, 0.168960, 389.681807, 0.464896, 141.624451, 0.150528, 437.397963
cz20468, 0.236544, 557.564939, 0.643072, 205.091558, 0.200704, 657.130124
cz40948, 0.375808, 701.886920, 0.966656, 272.873403, 0.302080, 873.194900
d_pretok, 1.352704, 776.718368, 3.759104, 279.500135, 1.124352, 934.467231
darcy003, 2.343936, 573.733626, 6.342656, 212.023930, 2.063360, 651.750008
dawson5, 0.580608, 1114.172158, 1.816576, 356.108018, 0.505856, 1278.817111
dbic1, 2.439168, 283.858892, 2.664448, 259.858520, 1.011712, 684.364276
dbir1, 2.413568, 285.592117, 1.702912, 404.774886, 0.708608, 972.746607
dbir2, 3.437568, 215.623886, 2.411520, 307.367038, 0.735232, 1008.146768
dblp-2010, 2.029568, 509.397084, 4.523008, 228.577095, 1.717248, 602.042350
dc1, 124.687363, 3.933786, 2.314240, 211.945798, 1.051648, 466.404567
dc2, 124.704765, 3.933237, 2.929664, 167.423110, 0.911360, 538.199423
dc3, 124.743683, 3.932010, 2.255872, 217.429640, 0.869376, 564.190221
de2010, 0.219136, 338.948599, 0.585728, 126.809443, 0.207872, 357.315265
debr, 5.492736, 488.709231, 12.655616, 212.107476, 4.742144, 566.062663
degme, 757.811218, 6.864002, 16.772097, 310.135222, 4.968448, 1046.930098
delaunay_n15, 0.247808, 507.613648, 0.692224, 181.719668, 0.203776, 617.298989
delaunay_n16, 0.550912, 456.726282, 1.135616, 221.567865, 0.334848, 751.433516
delaunay_n17, 0.878592, 572.808848, 2.385920, 210.931326, 0.737280, 682.597212
delaunay_n18, 2.122752, 474.189591, 4.142080, 243.014843, 1.438720, 699.640575
delaunay_n19, 3.985408, 505.146125, 7.691264, 261.753257, 2.965504, 678.877347
delaunay_n20, 8.084480, 498.050331, 14.800896, 272.042866, 5.517312, 729.789804
delaunay_n21, 16.202751, 497.014498, 28.698624, 280.605869, 10.897408, 738.983306
delaunay_n22, 32.492542, 495.685200, 55.965694, 287.784731, 21.728256, 741.250110
deltaX, 0.344064, 460.238099, 0.962560, 164.510639, 0.333824, 474.355816
denormal, 0.835584, 885.588251, 2.340864, 316.115493, 0.692224, 1068.994043
dictionary28, 0.323584, 352.207289, 0.903168, 126.187639, 0.281600, 404.718184
dielFilterV2clx, 12.475392, 1298.390755, 40.495106, 399.997328, 12.328960, 1313.811832
dielFilterV2real, 24.177664, 1284.860669, 77.325310, 401.743354, 23.519232, 1320.830950
