Dataset,ASpT_time,ASpT_gflops
gupta2,4.054016,670.669026
gupta3,8.519680,700.377627
gyro,1.314816,497.059483
gyro_k,1.288192,507.332558
gyro_m,0.500896,434.972230
halfb,9.872384,803.068983
hangGlider_4,0.256000,373.829982
hangGlider_5,1.011712,98.207241
hcircuit,4.032064,81.438708
helm2d03,4.323392,405.893899
helm3d01,0.493632,555.482964
hi2010,0.909664,87.329654
hollywood-2009,100.158463,727.751280
hood,8.463328,814.313086
hugetrace-00000,66.634499,132.143115
hugetric-00000,85.112991,131.341987
hugetric-00010,99.900093,126.665479
hugetric-00020,107.906593,126.696564
human_gene1,24.249344,651.092731
human_gene2,17.725439,652.382616
hvdc1,0.581792,175.987020
hvdc2,1.998848,431.375841
iChem_Jacobian,4.277280,619.065446
ia2010,4.290784,152.314546
ibm_matrix_2,2.027520,333.525893
id2010,3.546560,131.420011
igbt3,0.305440,490.321620
il2010,8.748416,158.343747
image_interp,3.043808,149.640556
in-2004,19.682304,550.083654
in2010,5.372768,152.677028
inlet,0.386560,543.581136
inline_1,29.118464,809.193070
ins2,4.206592,418.616715
internet,1.778048,74.585701
invextr1_new,1.679360,683.643661
italy_osm,83.872322,107.042367
jan99jac060,0.346528,234.891499
jan99jac060sc,0.348320,233.683045
jan99jac080,0.398112,275.736678
jan99jac080sc,0.394976,277.925957
jan99jac100,0.448928,307.736832
jan99jac100sc,0.451552,305.948548
jan99jac120,0.508480,327.504083
jan99jac120sc,0.502400,331.467528
jnlbrng1,0.627584,203.140940
juba40k,0.691424,134.164852
k1_san,0.757600,472.881937
k3plates,0.434656,557.943024
karted,1.931264,586.674497
kim1,0.883392,676.081305
kim2,9.901952,732.301364
kkt_power,22.686464,412.232783
kneser_10_4_1,4.049664,156.813325
kron_g500-logn16,4.403200,714.021633
kron_g500-logn17,9.323520,702.111499
kron_g500-logn18,19.313663,701.378127
kron_g500-logn19,40.790016,683.496900
kron_g500-logn20,85.977089,664.286173
kron_g500-logn21,179.418106,649.505702
ks2010,4.716160,152.232059
ky2010,3.384480,148.967617
la2010,8.676192,72.336543
laminar_duct3D,3.078144,796.963762
language,3.209216,242.568195
largebasis,5.930688,600.008643
ldoor,36.576256,814.035864
